,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
0,Mercedes-Benz,C180,2000,Blue,4000000.0,Kano,,,,,,,,,,,,
1,Mercedes-Benz,E350,2014,Black,13500000.0,Abuja,Base 4Matic Sedan AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Brown,5,Yes,,,,
2,Toyota,Sienna,2012,Black,16999999.0,Lagos,SE 8 Passenger,Front Wheel,3500cc,6,270hp,Black,8,No,No faults,Minivan,No,
3,Mercedes-Benz,GLE-Class,2021,Blue,190000000.0,Lagos,AMG GLE 53 4MATIC,All Wheel,3000cc,6,429hp,Other,5,No,No faults,SUV,,
4,Honda,Accord,2005,Silver,2800000.0,Kaduna,2.4 Type S Automatic,Front Wheel,,,,Black,,Yes,"First owner, First registration, No faults",,,
5,Mercedes-Benz,GLC-Class,2019,Gray,62500000.0,Lagos,,,,,,Black,,Yes,No faults,,,
6,Lexus,GS,2007,Blue,7500000.0,Lagos,350 4WD,All Wheel,3500cc,6,307hp,Other,5,Yes,"No faults, First registration",Sedan,Yes,
7,Lexus,ES,2009,Silver,10500000.0,Lagos,350,Front,,6,,Black,5,Yes,"First registration, First owner",Sedan,No,
8,Acura,TLX,2016,Black,17500000.0,Abuja,Tech V6 SH-AWD (3.5L 6cyl 9A),All Wheel,3500cc,6,,Other,,No,No faults,,Yes,
9,Lexus,RX,2017,Off white,38700000.0,Lagos,350 FWD,Front Wheel,3500cc,6,295hp,Gray,5,Yes,"First owner, Original parts, No faults",SUV,,
10,Toyota,Tundra,2008,Burgundy,18000000.0,Enugu,Double Cab 4x4 SR5 5.7L Long Bed,All Wheel,5700cc,8,387hp,Beige,6,Yes,,Pickup,,
11,Toyota,Camry,2013,Black,16000000.0,Lagos,,,,,,Gray,,No,No faults,,,
